commit	test_pass_rate	verify_ms	test_count	status	description
e780eb5	100.0	0.10	494	keep	baseline
ae6fcb2	100.0	0.10	494	keep	lazy-load nacl module in verification.py
e42c7b5	100.0	0.10	496	keep	add verify_links batch method + 2 tests
d7a19a0	100.0	0.10	500	keep	add 4 PAE edge case tests
4c91352	100.0	0.10	500	keep	pre-compile regex + remove unused ABC
dbad04b	100.0	0.10	508	keep	add 8 FacetRegistry + deletion tests
8b1d7fd	100.0	0.10	516	keep	add 8 AttestationValidity tests
81bec4c	100.0	0.10	529	keep	add 13 CLI verify tests
64fc91b	100.0	0.10	534	keep	add is_complete step_count duration_seconds + 5 tests
